Municipios,Ocupación_CIUO,Cargo_identificado,Nivel_educativo,programas_formar_esta_ocupación,instituciones_que_ofrecen_ programa,Nivel_formación,Municipios_programa,Brecha_cantidad
MANIZALES;MEDELLÍN,2529.PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,ADMINISTRADOR DE BASES DE DATOS,TECNÓLOGO;TECNOLOGÍA EN SISTEMAS DE INFORMACIÓN,TECNOLOGÍA EN ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,POLITÉCNICO GRANCOLOMBIANO;INSTITUCIÓN UNIVERSITARIASALAZAR Y HERRERA;TECNOLÓGICO DE ANTIOQUIA;SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNÓLOGO,MEDELLÍN,NO EXISTE BRECHA DE CANTIDAD
MANIZALES;MEDELLÍN,2529.PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,ADMINISTRADOR DE BASES DE DATOS,TECNÓLOGO;TECNOLOGÍA EN SISTEMAS DE INFORMACIÓN,TECNOLOGÍA EN ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,SERVICIO NACIONAL DE APRENDIZAJE-SENA-;UNIVERSIDAD AUTÓNOMA DE MANIZALES;UNIVERSIDAD DE CALDAS,TECNÓLOGO,MANIZALES,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE APLICACIONES ORIENTADAS A COMPUTACIÓN EN LA NUBE;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;
MANIZALES;MEDELLÍN,2529.PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,ADMINISTRADOR DE BASES DE DATOS,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA ELECTRÓNICA;CERTIFICACIÓN EN DESARROLLO JAVA;CERTIFICACIÓN EN .NET;CERTIFICACIÓN EN PYTHON;METODOLOGIAS AGILES DE DESARROLLO;ANGULAR;ARQUITECTURA AWS;,INGENIERÍA ELECTRÓNICA,UNIVERSIDAD AUTÓNOMA DE MANIZALES,UNIVERSITARIO,MANIZALES,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE APLICACIONES ORIENTADAS A COMPUTACIÓN EN LA NUBE;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;
MANIZALES;MEDELLÍN,2529.PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,ADMINISTRADOR DE BASES DE DATOS,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA ELECTRÓNICA;CERTIFICACIÓN EN DESARROLLO JAVA;CERTIFICACIÓN EN .NET;CERTIFICACIÓN EN PYTHON;METODOLOGIAS AGILES DE DESARROLLO;ANGULAR;ARQUITECTURA AWS;,INGENIERÍA DE SISTEMAS,UNIVERSIDAD DE CALDAS;UNIVERSIDAD DE MANIZALES;UNIVERSIDAD AUTÓNOMA DE MANIZALES;UNIVERSIDAD CATOLICA LUIS AMIGO-FUNLAM,UNIVERSITARIO,MANIZALES,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE APLICACIONES ORIENTADAS A COMPUTACIÓN EN LA NUBE;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;
MANIZALES;MEDELLÍN,2529.PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,ADMINISTRADOR DE BASES DE DATOS,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA ELECTRÓNICA;CERTIFICACIÓN EN DESARROLLO JAVA;CERTIFICACIÓN EN .NET;CERTIFICACIÓN EN PYTHON;METODOLOGIAS AGILES DE DESARROLLO;ANGULAR;ARQUITECTURA AWS;,INGENIERÍA ELECTRÓNICA,INSTITUCIÓN UNIVERSITARIA DE ENVIGADO;INSTITUCIÓN UNIVERSITARIA  SALAZAR Y HERRERA;INSTITUTO TECNOLÓGICO METROPOLITANO;UNIVERSIDAD DE ANTIOQUIA;UNIVERSIDAD PONTIFICIA BOLIVARIANA;UNIVERSIDAD DE MEDELLIN;UNIVERSIDAD DE SAN BUENAVENTURA;UNIVERSIDAD CATOLICA,UNIVERSITARIO,MEDELLÍN,NO EXISTE BRECHA DE CANTIDAD
MANIZALES;MEDELLÍN,2529.PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,ADMINISTRADOR DE BASES DE DATOS,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA ELECTRÓNICA;CERTIFICACIÓN EN DESARROLLO JAVA;CERTIFICACIÓN EN .NET;CERTIFICACIÓN EN PYTHON;METODOLOGIAS AGILES DE DESARROLLO;ANGULAR;ARQUITECTURA AWS;,INGENIERÍA DE SISTEMAS,UNIVERSIDAD NACIONAL DE COLOMBIA;UNIVERSIDAD DE ANTIOQUIA;UNIVERSIDAD PONTIFICIA BOLIVARIANA;UNIVERSIDAD EAFIT-;UNIVERSIDAD DE SAN BUENAVENTURA;UNIVERSIDAD DE MEDELLIN;UNIVERSIDAD CATOLICA LUIS AMIGO-FUNLAM;POLITÉCNICO GRANCOLOMBIANO;INSTITUCIÓN UNIVERSIT,UNIVERSITARIO,MEDELLÍN,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ,2529. PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,ADMINISTRADOR DE MESA DE AYUDA,TÉCNICO;TÉCNICO EN SISTEMAS;,TÉCNICO EN SISTEMAS,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TÉCNICO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ,2529. PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,ADMINISTRADOR DE MESA DE AYUDA,UNIVERSITARIO;INGENIERÍA ELECTRÓNICA;INGENIERÍA DE SISTEMAS;CERTIFICACIÓN EN CISCO;CERTIFICACIÓN JUNIPER;CERTIFICACIÓN FORTINET;CERTIFICACIÓN VMWARE;CERTIFICACIONES EN LAS MARCAS DE LOS EQUIPOS  DEPENDIENDO DE LAS NECESIDADES;CURSO EN SERVICIO AL CLIENTE;,INGENIERÍA ELECTRÓNICA,CORPORACIÓN UNIFICADA NACIONAL DE EDUCACIÓN SUPERIOR-CUN-;ESCUELA COLOMBIANA DE INGENIERÍA JULIO GARAVITO;FUNDACIÓN UNIVERSITARIA LOS LIBERTADORES;UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD;UNIVERSIDAD ANTONIO NARI¿O;UNIVERSIDAD COOPERATIVA DE COLOMB,UNIVERSITARIO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ,2529. PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,ADMINISTRADOR DE MESA DE AYUDA,UNIVERSITARIO;INGENIERÍA ELECTRÓNICA;INGENIERÍA DE SISTEMAS;CERTIFICACIÓN EN CISCO;CERTIFICACIÓN JUNIPER;CERTIFICACIÓN FORTINET;CERTIFICACIÓN VMWARE;CERTIFICACIONES EN LAS MARCAS DE LOS EQUIPOS  DEPENDIENDO DE LAS NECESIDADES;CURSO EN SERVICIO AL CLIENTE;,INGENIERÍA DE SISTEMAS,UNIVERSIDAD NACIONAL DE COLOMBIA;UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS;PONTIFICIA UNIVERSIDAD JAVERIANA;UNIVERSIDAD INCCA DE COLOMBIA;FUNDACIÓN UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO;UNIVERSIDAD CENTRAL;UNIVERSIDAD DE SAN BUENAVENTURA;UNIVERS,UNIVERSITARIO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MEDELLÍN;BUCARAMANGA,2519. DESARROLLADORES Y ANALISTAS DE SOFTWARE Y MULTIMEDIA NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,ADMINISTRADOR DE PLATAFORMAS,TECNÓLOGO;TECNOLOGÍA EN SISTEMAS DE INFORMACIÓN;,TECNOLOGÍA EN ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,POLITÉCNICO GRANCOLOMBIANO;INSTITUCIÓN UNIVERSITARIASALAZAR Y HERRERA;TECNOLÓGICO DE ANTIOQUIA;SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TECNÓLOGO,MEDELLÍN,NO EXISTE BRECHA DE CANTIDAD
